*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=8x12_AWS_3.0.0_PANEL
*Date=16:46:12
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
75;;THT;56.5107;-64.3152;-90;Bottom;I2C
76;10k;THT;26.5122;-69.6233;-90;Bottom;R1
77;;THT;9.00351;-57.0449;-90;Bottom;WIND SENSOR DATA
78;;THT;66.2223;-62.9004;180;Bottom;OUT+
79;;THT;66.2209;-74.3448;180;Bottom;OUT-
80;;;73.3806;-54.6508;0;Bottom;Copper Fill267
81;;;89.5848;-20.0438;0;Bottom;TXT3
82;;;55.9816;-35.2325;0;Bottom;Copper Fill358
83;1µF;100 mil [THT, electrolytic];84.9797;-53.0077;180;Bottom;C2
84;;;96.9772;-1.7426;0;Bottom;Copper Fill278
85;;;96.9772;-78.2982;0;Bottom;Copper Fill309
86;;THT;68.6308;-29.5001;90;Bottom;N-BAT-M1
87;;DIP (Dual Inline) [THT];64.5099;-39.0099;-90;Bottom;SN74AHCT125
88;10µF;100 mil [THT, electrolytic];90.8818;-46.6903;0;Bottom;C3
89;;THT;83.9637;-41.2837;90;Bottom;LM7805
90;;;79.6616;-20.4831;-90;Bottom;TXT4
